지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
131,2021-02-05,.9,-5.1,738,7.5,1600,,,,,,,5.2,180,1350,2.5,250,1519,1,831,-8.2,35,1940,51.5,3.3,1015,1027.9,17,1018.5,1728,1022.4,10.5,7.5,1300,2.12,11.1,,,,,,4.8,0,1,-7.5,,,,,,,,,,1.3,1.9,,
131,2021-02-06,5.8,-1.3,505,10.7,1441,,,,,,,8.7,230,1310,4,250,1319,1.3,1130,.3,55,53,68,6.6,1009.6,1018.7,1,1015.3,1420,1016.8,10.6,4.5,1200,1.82,9.02,,,,,,7.4,7.4,4.3,-5.5,,,,,,,,,,1.2,1.8,,
131,2021-02-07,5.5,-.7,2351,10,1447,,,,,,,7.3,320,2015,3.6,290,1735,1.7,1492,-2.2,33,2023,60.9,5.6,1014.5,1025.6,2351,1017.4,2,1021.8,10.6,6.6,1200,2.05,10.81,,,,,,3,2.9,5.3,-4.6,,,,,,,,,,2,2.8,,
131,2021-02-08,-1.7,-3.5,725,1.3,1419,,,,,,,8.6,320,1458,4.5,290,1020,2.5,2118,-13.4,24,1258,41.1,2.2,1021.4,1031,2350,1025.6,1,1028.9,10.6,9.7,1200,2.44,15.28,,,,,,0,0,1.3,-7.5,,,,,,,,,,1.9,2.7,,
131,2021-02-09,0,-5.5,654,5.7,1502,,,,,,,6.3,270,1431,3.3,290,225,1.2,1067,-11.5,27,1526,42.8,2.6,1021.8,1031.4,106,1027.1,1855,1029.3,10.7,9.7,1200,2.43,15.19,,,,,,0,0,1.9,-8.9,,,,,,,,,,1.8,2.5,,
131,2021-02-10,2.4,-3.5,616,8.1,1612,,,,,,,3.7,180,1255,1.9,200,1256,.7,614,-4.5,50,1601,60.5,4.5,1019.1,1028.6,51,1024.2,1643,1026.5,10.7,4.2,1200,1.74,8.89,,,,,,3.9,3.9,1.9,-7,,,,,,,,,,1,1.5,,
131,2021-02-11,5.7,1.2,202,11.1,1509,,,,,,,4.8,20,1320,3,50,1328,.7,597,-1.3,41,1414,62.9,5.6,1018.5,1028.5,1019,1023.4,1717,1025.8,10.7,7.9,1200,2.1,11.89,,,,,,7.5,1.9,4.5,-4.1,,,,,,,,,,1.4,2,,
131,2021-02-12,7,.6,542,14.8,1610,,,,,,,4.6,290,1908,2.3,290,1912,.6,513,-3.6,19,1706,51.4,4.7,1018,1026.5,1049,1023.3,1641,1025.2,10.8,8.7,1300,2.28,14.22,,,,,,2.1,0,5.3,-4.2,,,,,,,,,,2.2,3.1,,
131,2021-02-13,7.7,-.3,710,16.3,1557,,,,,,,4,20,1517,2.4,50,1338,.6,525,-5.7,12,1609,43.8,4.1,1017.4,1028.1,836,1021.7,2400,1024.6,10.8,9.7,1200,2.42,15.25,,,,,,.8,0,5.6,-5.2,,,,,,,,,,2.4,3.5,0,
131,2021-02-14,9.5,5,251,14.3,1323,4.18,,,,,0,2.6,180,1231,1.4,180,1223,.6,482,.9,39,1546,56.3,6.7,1008.5,1021.8,7,1010.9,2346,1015.6,10.8,.6,1100,1.48,6,,,,,,9.4,6.5,6.8,-1,,,,,,,,,,1.1,1.6,0,
131,2021-02-15,2.7,-2.8,2348,9.6,10,8.78,,,,,0,14.5,270,1405,5.5,270,1419,2.7,2333,-4.3,37,1554,61.3,4.8,1005.6,1018.6,2336,1009.2,719,1012.9,10.9,5.1,1300,2.55,11.02,,,,,,7.9,7.5,4.4,-3.5,,,,,,,,,,1.6,2.3,0,
131,2021-02-16,-3.2,-5.1,2333,1,1328,6.08,,,,,1.4,9.2,270,2159,4.6,20,1500,1.8,1532,-10.2,35,1142,59.3,2.8,1010.1,1019.5,240,1014.4,1402,1017.6,10.9,6,1100,1.93,9.18,3.9,1640,3.9,1640,3.9,5,5,-.5,-8,,,,,,,,,,1.1,1.6,1.6,
131,2021-02-17,-7.2,-9.2,734,-5,1,9.83,,,,,.3,13.6,340,1549,5.7,290,1558,3.1,2696,-13.9,41,1558,59.6,2.1,1012.3,1022.1,2312,1018.5,1409,1019.9,11,3.6,1400,1.95,10.35,.9,1040,2.8,1040,1.4,6.9,6.9,-.4,-9.2,,,,,,,,,,1,1.4,.1,
131,2021-02-18,-4.8,-9,636,-.9,1612,,,,,,,10.4,270,1326,4.2,270,1328,2.2,1884,-13.8,39,1223,49.4,2.2,1015.7,1024.5,2154,1021.5,120,1023.3,11,9.9,1200,2.49,15.18,,,,,,3.3,3.3,-.2,-9,,,,,,,,,,1.4,2,,
131,2021-02-19,2.4,-5.9,651,9.5,1559,,,,,,,8.6,160,2345,3.9,270,1510,1.5,1335,-4.6,47,1650,60.5,4.5,1011.5,1024.9,149,1012.9,2349,1018.9,11,9.9,1200,2.53,16.09,,,,,,0,0,2.8,-6,,,,,,,,,,2.1,3,,
131,2021-02-20,10.5,6.4,117,17.1,1525,,,,,,,9.2,250,28,3.5,250,225,1.5,1265,2.4,29,1639,59,7.3,1004,1012.9,1,1009.7,418,1011.1,11.1,9,1200,2.36,14.47,,,,,,.3,.3,7.5,-.9,,,,,,,,,,2.3,3.3,,
131,2021-02-21,13.1,4.4,634,22.1,1445,,,,,,,12.5,270,1344,6.1,270,1455,1.9,1601,1.6,20,1610,50.4,6.9,1003.8,1012.6,204,1008.6,1442,1010.8,11.1,9.8,1200,2.5,16.37,,,,,,.1,0,8.8,-1.4,,,,,,,,,,3.7,5.3,,
131,2021-02-22,9.4,1.7,2400,17.6,1308,,,,,,,7.8,340,1347,4,270,2033,1.8,1590,-.4,37,1931,51,6.4,1008,1023.2,2329,1010.7,610,1015.2,11.1,9.9,1300,2.35,15.09,,,,,,.4,.3,8.7,-2.6,,,,,,,,,,2.8,4,,
131,2021-02-23,1.5,-1.3,658,6,1439,,,,,,,7.2,320,933,3.6,290,940,1.7,1494,-13.2,19,1328,33.8,2.2,1018.9,1028.2,1001,1023,6,1026.3,11.2,10.1,1200,2.49,16.54,,,,,,1,.4,3.5,-6.2,,,,,,,,,,2.3,3.3,,
131,2021-02-24,4.4,-1.3,708,10.8,1550,,,,,,,3.3,250,1456,1.8,270,1503,.8,685,-11.5,11,1828,33.6,2.6,1018.3,1028,816,1022.9,1821,1025.6,11.2,8.5,1200,2.35,13.8,,,,,,7.1,2.8,5.2,-4.2,,,,,,,,,,1.8,2.6,,
131,2021-02-25,5.1,.6,729,8.6,1628,,,,,,,3.9,20,2303,2.2,180,1857,.8,660,-5,36,2,48,4.2,1016.9,1025.9,945,1022,1844,1024.2,11.2,0,1400,.65,4.55,,,,,,8.9,5.6,4.2,-4.9,,,,,,,,,,1.1,1.6,,
131,2021-02-26,8.7,1.7,550,15.6,1419,,,,,,,9.8,360,1420,5.5,50,1429,2.2,1935,-4.7,13,1423,40.1,4.3,1016.3,1026.4,2257,1020.3,1434,1023.5,11.3,9.2,1300,2.67,16.27,,,,,,4.4,0,8.3,-3.1,,,,,,,,,,3.5,5,,
131,2021-02-27,8,3.9,641,12.2,1424,,,,,,,9.7,70,1300,5.7,90,1108,2.7,2355,-2.7,34,1540,47.3,5,1021.9,1031.2,2210,1026.3,1,1029.2,11.3,10,1200,2.52,15.77,,,,,,5.1,0,8.1,-3,,,,,,,,,,2.8,4,,
131,2021-02-28,7.5,.8,605,12.9,1321,1,,,,,0,5.8,70,36,3.5,90,5,1,885,-.4,31,1630,58.8,6.1,1019.4,1030.3,1,1022.5,2356,1026.6,11.4,2.6,1200,1.71,8.64,,,,,,6.8,4.8,7.1,-4.6,,,,,,,,,,1.3,1.8,2.8,
131,2021-03-01,7.2,.8,2254,13.1,1237,22.5,,,,,53.3,9.9,20,2036,4.2,290,1328,1.5,1273,5.4,71,1,88.8,9.2,1007,1022.6,2,1008.4,1534,1014.2,11.4,0,1100,.39,1.97,.2,2340,.2,2340,.2,10,8.8,7.9,0,,,,,,,,,,.5,.7,50.5,
131,2021-03-02,2.9,1,1,5.8,1535,6.58,,,,,0,5.9,90,1502,3,50,1108,1.3,1096,-1.7,56,1722,71.9,5.4,1017.8,1029.9,2341,1015,1,1025.2,11.4,1.1,1100,1.32,5.84,,,.2,10,,5.9,5.8,4.5,-2.6,,,,,,,,,,.8,1.2,0,
131,2021-03-03,4.6,-1.2,701,10,1522,,,,,,,4.7,140,1011,2.5,180,1125,.9,760,-4,25,1535,57.4,4.6,1022.5,1032.9,830,1027.5,1653,1029.9,11.5,9.6,1300,2.25,15.35,,,,,,4.8,0,5.1,-4.5,,,,,,,,,,1.8,2.6,,
131,2021-03-04,5.8,1.7,606,10.3,1417,3.58,,,,,1,4.2,140,1910,2.4,160,1901,.6,535,.9,47,1333,71.9,6.6,1017.8,1028.3,1,1022.7,1757,1025.1,11.5,.5,1200,.98,6.28,,,,,,6.9,2.9,5.3,-2.3,,,,,,,,,,.9,1.3,1,
131,2021-03-05,8.6,1.3,643,16.7,1629,,,,,,,6,320,1834,3.2,290,1837,1.1,968,2.4,41,1701,68.6,7.3,1014.1,1023.4,2338,1018.4,1535,1021.3,11.5,9.2,1200,2.8,18.12,,,,,,2.6,1.1,9,-2.5,,,,,,,,,,2.6,3.6,,1.58
131,2021-03-06,7.4,4.1,741,12.6,1442,,,,,,,7.2,110,1951,4.5,90,1902,1.8,1536,1.6,48,1556,68.3,7,1019.9,1031.4,2259,1023.1,25,1027.1,11.6,4.1,1100,2,9.09,,,,,,6.5,4.1,7,1.6,,,,,,,,,,1.7,2.4,,
131,2021-03-07,6.8,4.3,624,10.5,1553,,,,,,,6.2,90,6,4,90,4,1.4,1203,.4,49,1631,64.3,6.3,1021.4,1030.9,908,1026.2,1735,1028.7,11.6,4.5,1400,1.65,9.85,,,,,,7.4,5.3,7.8,.8,,,,,,,,,,1.3,1.8,,
131,2021-03-08,7.6,2.2,652,14.4,1556,,,,,,,5.7,320,1926,2.8,290,1912,1,852,-.8,26,1544,59.6,5.8,1019.9,1029.8,917,1024.7,1727,1027.2,11.7,10,1300,2.83,18.95,,,,,,.6,.3,8.9,-2.6,,,,,,,,,,2.8,4.1,,
131,2021-03-09,7.3,2.2,558,13.3,1500,,,,,,,6.3,320,1540,3.5,290,1548,1.1,972,-2.8,27,1513,52,5.1,1019.1,1028.3,2255,1023.7,1453,1026.3,11.7,7.7,1100,2.26,14.02,,,,,,5.3,.1,7.6,-2,,,,,,,,,,2.2,3.2,,
131,2021-03-10,9.5,1.2,713,17.6,1615,,,,,,,4.8,110,1312,2.2,250,1439,.8,710,-1.7,22,1604,48.9,5.4,1021.4,1031.3,921,1026.5,1608,1028.7,11.7,10.1,1200,2.88,19.61,,,,,,0,0,9.5,-3.6,,,,,,,,,,3,4.3,,
131,2021-03-11,10.7,3.7,709,18.1,1455,,,,,,,5.7,320,1817,2.9,290,1816,1,832,-1.1,21,1546,47.1,5.7,1019,1030.4,828,1022.6,2343,1026.2,11.8,8,1200,2.86,17.77,,,,,,5.6,1.8,10.6,-1.7,,,,,,,,,,3,4.3,.5,
131,2021-03-12,9,7.9,549,10.6,1,15.22,,,,,4.2,7.3,20,1657,4.7,90,1008,1.7,1434,4.7,44,308,75.8,8.6,1014.8,1023,2210,1020.7,1455,1022,11.8,0,1100,.63,3.69,,,,,,8.4,6.5,8.8,4.6,,,,,,,,,,.8,1.1,3.7,
131,2021-03-13,9.4,4.1,737,15.2,1515,,,,,,,6.3,290,1712,3.1,290,1714,1.2,1058,2.4,40,1621,63.9,7.3,1014.6,1024.4,821,1019.4,1650,1021.8,11.9,10,1200,2.61,17.48,,,,,,3.8,2.5,10.9,-.3,,,,,,,,,,2.4,3.4,,
131,2021-03-14,9.7,5,648,14.8,1533,,,,,,,5.4,290,1406,2.8,270,1414,1.1,960,2.6,42,1528,62.6,7.4,1013.6,1023,915,1019,1632,1020.7,11.9,8.1,1100,2.3,15.68,,,,,,3.1,2.1,10.5,.8,,,,,,,,,,2.2,3.1,,
131,2021-03-15,12,4.9,455,17.8,1456,,,,,,,6.3,250,1341,3.2,230,1325,1.2,1031,2.1,21,1506,55.4,7.2,1009.8,1020.6,902,1013.6,2356,1016.8,11.9,8.3,1100,2.36,16.28,,,,,,6.8,3.1,12.4,.3,,,,,,,,,,2.8,4,0,
131,2021-03-16,9.9,5.6,2350,15,1436,2.92,,,,,0,8.4,290,1552,4,290,1600,2,1768,-.9,25,1420,50.6,6.2,1009,1019.3,2326,1012.6,307,1016.1,12,10.3,1200,2.96,21.12,,,,,,2.4,2.4,13.4,.4,,,,,,,,,,3.6,5.1,,
131,2021-03-17,9.5,2.2,612,18.6,1654,,,,,,,4.7,50,1144,2.4,290,1925,1.1,923,-3,15,1716,45.1,4.9,1012.3,1021.1,944,1017,1614,1019.4,12,10.5,1200,2.96,20.77,,,,,,.6,0,12.3,-2,,,,,,,,,,3.5,5,,
131,2021-03-18,12.5,4.6,538,19.6,1632,.17,,,,,0,7.1,320,1906,3.1,110,1408,1.1,915,1,30,1808,47.3,6.7,1012.8,1022.4,909,1016.7,1558,1019.8,12.1,9.8,1200,2.91,19.43,,,,,,3.4,2.4,15,.1,,,,,,,,,,3.4,4.8,0,
131,2021-03-19,13.8,10.3,643,18.6,1511,.17,,,,,0,7.5,110,1653,4,90,2007,2.5,2158,2.1,31,1513,46.1,7.1,1012,1022,841,1016.2,1733,1019.1,12.1,8.1,1200,2.64,17.62,,,,,,7.6,6,16.3,9.5,,,,,,,,,,3.6,5.1,1.8,
131,2021-03-20,8.9,6.9,2353,12.3,1,10.17,,,,,5.3,6.3,110,13,3,110,18,1.3,1160,4.6,49,4,76.3,8.6,1006.8,1017.5,1,1011.7,1809,1014,12.1,0,1200,.4,2.81,,,,,,9.6,9,10.3,6.9,,,,,,,,,,.7,1,3.5,
